city,total_people
Houston,"1,572,841"
Howardwick,292
Howe,"2,807"
Hubbard,"1,709"
Hudson Oaks,"1,760"
Huffman,"9,166"
Hughes Springs,"2,880"
Hull,"1,180"
Humble,"88,470"
Hungerford,253
Hunt,933
Huntington,"5,310"
Huntsville,"30,089"
Hurst,"25,059"
Hutchins,"1,983"
Hutto,"18,339"
Hye,114
Idalou,"2,065"
Imperial,216
Industry,390
Inez,"2,250"
Ingleside,"5,435"
Ingram,"3,400"
Iola,"1,993"
Iowa Colony,"1,646"
Iowa Park,"6,910"
Ira,287
Iraan,705
Iredell,588
Irene,56
Irving,"99,642"
Italy,"1,999"
Itasca,"1,737"
Ivanhoe,752
Izoro,5
Jacksboro,"3,191"
Jacksonville,"13,215"
Jamaica Beach,803
Jarrell,"4,246"
Jasper,"8,928"
Jayton,413
Jbsa Ft Sam Houston,3
Jefferson,"5,794"
Jermyn,131
Jersey Village,"5,323"
Jewett,"1,451"
Joaquin,"2,103"
Johnson City,"3,000"
Joinerville,58
Jones Creek,"1,525"
Jonesboro,577
Jonestown,"2,131"
Jonesville,1
Josephine,981
Joshua,"10,516"
Jourdanton,"3,544"
Junction,"2,251"
Justiceburg,122
Justin,"9,113"
Karnack,"1,800"
Karnes City,"2,674"
Katemcy,2
Katy,"182,497"
Kaufman,"11,046"
Keene,"2,409"
Keller,"31,856"
Kemah,"2,566"
Kemp,"6,757"
Kempner,"6,129"
Kendalia,376
Kendleton,325
Kenedy,"2,930"
Kennard,"1,097"
Kennedale,"5,219"
Kenney,5
Kent,15
Kerens,"2,245"
Kermit,"3,064"
Kerrick,23
Kerrville,"27,277"
Kildare,86
Kilgore,"13,613"
Killeen,"78,160"
Kingsbury,"1,585"
Kingsland,"5,176"
Kingsville,"16,498"
Kingwood,"48,393"
Kirby,78
Kirbyville,"4,452"
Kirvin,90
Klondike,497
Knickerbocker,25
Knippa,515
Knollwood,433
Knott,87
Knox City,855
Kopperl,675
Kosse,808
Kountze,"6,014"
Kress,661
Krugerville,"1,271"
Krum,"5,391"
Kurten,4
Kyle,"27,988"
La Blanca,340
La Coste,"1,099"
La Feria,"6,025"
La Grange,"6,673"
La Grulla,"1,937"
La Joya,"2,565"
La Marque,"10,566"
La Porte,"21,598"
La Pryor,849
La Salle,103
La Vernia,"8,746"
La Villa,"1,440"
La Ward,180
Lackland Afb,490
Lacy Lakeview,"3,519"
Ladonia,706
Lafkin,1
Lago Vista,"7,419"
Laguna Heights,531
Laguna Park,22
Laguna Vista,"2,549"
Laird Hill,57
Lajitas,27
Lake Bridgeport,8
Lake City,314
